DUR	Of course, they would be closing in 5 minutes, so I would have to hurry up or get it the next day.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long until they close? Which time unit best describes it?
DUR	You can try picking up the eggs and holding it up against a very bright light.	1 2 3 4 5 6 7 8 9 120 121 122	0.7412392700826488 0.24912843928090708 0.009458406390501939 0.00016606286478555588 7.30646267660146e-06 5.120999881870982e-07 2.807187666675083e-09 1.1281434169352893e-11 2.2746998844715235e-14 0.0 0.0 0.0	How long does it take to pick up the eggs and hold them up against a very bright light? Which time unit best describes it?
FREQ	$23.8 b - Amount the United States spent on international aid and diplomacy in 2002.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often does the United States spend on international aid and diplomacy? Which time unit best describes it?
FREQ	I didn't think I'd be awarded one, but I received the Dux Litterarum award at high school, so my chances were probably better than I thought they were.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often is the Dux Litterarum award given? Which time unit best describes it?
DUR	I have talked to some people that say that a medical exam is an invasion of privacy, and others say it's a routine thing when entering another country.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long does a medical exam typically take when entering another country? Which time unit best describes it?
TYP	I really want to like this place since I work right around the corner.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when they work right around the corner?
TYP	I'm unsure of this, because once I watched a commercial of cat food with my cat, and she didn't react to seeing another cat on TV.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does watching a commercial with the cat usually happen? Which time unit best describes it?
TYP	Bands, food, and prizes are sponsored by Beyond Control, who will be competing in the Band of the Year Contest at the River Front Festival in Cuyahoga Falls on July 1.	25 26 27 28 29 30 31 32 33 34 35 36	0.0 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0	When does the Band of the Year Contest take place? Which time unit best describes it?
TYP	I felt like I was in heaven when I walked through the majestic fields of this particular farm.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time does walking through the majestic fields usually happen? Which time unit best describes it?
FREQ	I am made to feel special when I am in the chair, and I have NEVER had a less than amazing cut or color experience.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often do they have amazing cut or color experiences? Which time unit best describes it?
DUR	You take a boat across the river, then spend a day biking, eating at a local restaurant, buying souvenirs, and doing other things that are geared towards tourists.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long did you spend doing the tourist activities? Which time unit best describes it?
DUR	We are taking a 3-hour flight down to a fancy island in Florida and staying only 2 days.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long is the flight? Which time unit best describes it?
DUR	He also neglected to tell the other person working at the store about a dining room table that I had ordered and that was supposed to be coming in.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long did it take for the dining room table to arrive? Which time unit best describes it?
DUR	Next day got moved into another room, on the same floor with other wedding guests.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long did the move take? Which time unit best describes it?
FREQ	750,000 tons of toxic waste the US military, the world's biggest polluter, generates around the world each year.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often does the US military generate 750,000 tons of toxic waste around the world? Which time unit best describes it?
TYP	Had a meal in this pub, and I have to say it was excellant.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does having a meal in this pub usually happen? Which time unit best describes it?
TYP	By the second half of the year, you will finally feel welcome relief from the tight financial binds that have hindered you over the past two years.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when you will feel welcome relief?
DUR	If you see a dark spot in the egg, that means it is fertilized and will hatch if cared for properly.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long does it take for a fertilized egg to hatch if cared for properly? Which time unit best describes it?
TYP	Me and my family are moving into a new house just outside a small town.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When do people usually move into a new house? Which time unit best describes it?
DUR	Would I be able to go back to school after a year break at a university to get a Bachelor's degree in business administration?	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long is the break before returning to university to get the bachelor's degree? Which time unit best describes the break?
DUR	If so, this happy band has not been heard from since.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has it been since this happy band was last heard from? Which time unit best describes it?
TYP	Crude oil prices rose Wednesday as strengthening Hurricane Rita, now a Category 5 storm, threatened to disrupt oil production in the Gulf of Mexico.	18 19 20 21 22 23 24 120 121 122 123 124	0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When did this happen? Which time unit best describes when crude-oil prices rose?
DUR	On one order, we needed it rushed and shipped to a different state.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long did it take to rush and ship that order to a different state? Which time unit best describes it?
TYP	Shortages are already leading to power cuts in the big cities.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
DUR	If you've successfully used any of these supplements to aid weight loss, please write me at gottlie...@yahoo.com and let me know, telling me about your experience.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long did you use these supplements to aid weight loss? Which time unit best describes it?
DUR	Some places do the registration right at the hospital; in some smaller places, you need to register your child's birth at the town hall/registrar's office.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long does it take to register a child's birth? Which time unit best describes it?
TYP	We don't want too many tourists, and since we'll both be out of school, we can go anytime between the middle of June to early November.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes when they can go?
DUR	68 - Number of days after taking office that Bush decided not to ratify the Kyoto Protocol, the international treaty to reduce greenhouse gases by roughly 5.2 percent below 1990 levels by 2012.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long after taking office did Bush decide not to ratify the Kyoto Protocol? Which time unit best describes it?
DUR	I couldn't find anywhere else local to fix it, so I took it there, and they fixed it for $150...	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did it take to fix it? Which time unit best describes it?
DUR	Also, one can keep their privacy in the cabins and make the time in seclusion.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long would someone typically stay in seclusion in the cabins? Which time unit best describes it?
TYP	Maybe he doesn't want to play when they want to.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
FREQ	Also, Beardies often do not eat food that is not moving, so it's anyone's guess whether or not he'll touch the freeze-dried crickets or the processed food.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do Beardies fail to eat food that is not moving? Which time unit best describes it?
FREQ	PS - we also have more cats coming in for re-homing; see our 'Homes Wanted' page.	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often do cats come in for re-homing? Which time unit best describes it?
TYP	You may also want to avoid Thanksgiving week and the Christmas holidays.	25 26 27 28 29 30 31 32 33 34 35 36	0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683	When do people usually avoid travel for Thanksgiving week and the Christmas holidays? Which time unit best describes it?
TYP	I was just in last night and had a chance to dine in their new dining room.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes the time of day when the dining occurred?
TYP	Then I sat on the couch, placed one hand in the cage, holding a millet spray.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
TYP	If your French is good/moderate, then head to Paris without a doubt.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When should you head to Paris? Which time unit best describes when people usually head to Paris?
TYP	The room you sleep in is best (seeing you so relaxed that you are sleeping will send the message that everything is OK), but others will work just as well.	10 11 12 13 14 15 16 17 120 121 122 123	0.001 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.0 0.0 0.0 0.0	At what time does sleeping in this room usually happen? Which time unit best describes it?
DUR	I have been going there since I was a little girl and love the friendly and relaxing atmosphere.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long has the speaker been going there? Which time unit best describes it?
TYP	I graduate in the spring, and so we'd like to go between then and winter.	37 38 39 40 120 121 122 123 124 125 126 127	0.683 0.157 0.001 0.157 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does the graduation usually happen? Which time unit best describes it?
DUR	After searching high and low for a salesman, I was treated like dirt, and we left.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did the search for a salesman take? Which time unit best describes it?
DUR	We are staying next to the airport, which is located next to BARTrail.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long are we staying next to the airport? Which time unit best describes it?
DUR	I want to go to Thailand to do my boob job from South Africa, but looking for the cheapest surgeons, yet also good in his artwork on a human's body.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long will the boob job procedure take? Which time unit best describes it?
DUR	But I also hope no one feels any obligation to download, especially if you have an Internet connection as slow as mine (28k).	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long would it take to download on such a slow connection? Which time unit best describes it?
DUR	He could become severely dehydrated (especially if he continues to vomit and have diarrhea).	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long would it take for him to become severely dehydrated if he continues to vomit and have diarrhea? Which time unit best describes it?
TYP	I now use a 75-watt basking or heat bulb for mine, and he seems to like it.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
FREQ	they all need love and attn, food, proper surroundings, etc.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do they need love, attention, food, and proper surroundings? Which time unit best describes it?
DUR	In the final two steps, the dancers firmly stamp their feet on the ground.	1 2 3 4 5 6 7 8 9 120 121 122	0.7412392700826488 0.24912843928090708 0.009458406390501939 0.00016606286478555588 7.30646267660146e-06 5.120999881870982e-07 2.807187666675083e-09 1.1281434169352893e-11 2.2746998844715235e-14 0.0 0.0 0.0	How long do the dancers' firm stamps in the final two steps last? Which time unit best describes it?
FREQ	I loved my stay here, and if ever back in the area, I will be staying here again.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often would the person stay here again? Which time unit best describes it?
DUR	They had gagged me, and Murillo twisted my arm round until I gave him the address.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long did Murillo twist my arm until I gave him the address? Which time unit best describes it?
DUR	"1 - Number of paragraphs devoted to global warming in the EPA's 600-page ""Draft Report on the Environment"" presented in 2003."	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long did the presentation of the EPA's Draft Report on the Environment last? Which time unit best describes the duration?
DUR	I have Chronic Lyme disease, so I'm stuck at home.	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long is the person stuck at home? Which time unit best describes it?
DUR	Meanwhile, President George W. Bush has said he will lead an inquiry into how the disaster was handled.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long will the inquiry take? Which time unit best describes it?
TYP	So I sent him to the trainers the first of September to be started on the barrels.	25 26 27 28 29 30 31 32 33 34 35 36	0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0	When was he sent to the trainers to start on the barrels? Which time unit best describes it?
TYP	I wish all happy holidays, and moreso, wish peace on earth.	25 26 27 28 29 30 31 32 33 34 35 36	0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001 0.157 0.683	At what time does this usually happen? Which time unit best describes when people say 'happy holidays'?
TYP	You will also have to be wary of mold forming on any toys or hide-aways he may have.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does mold formation usually happen on stored toys? Which time unit best describes it?
DUR	That horse returned to racing, and we didn't notice much difference.	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long was the horse out before returning to racing? Which time unit best describes it?
TYP	I mean, I wasn't smart enough to apply for a scholarship.	37 38 39 40 120 121 122 123 124 125 126 127	0.683 0.157 0.001 0.157 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	At what time does applying for a scholarship usually happen? Which time unit best describes it?
DUR	Regarding those rumors about wolves living in Yellowstone prior to the official reintroduction?	1 2 3 4 5 6 7 8 9 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How long did wolves live in Yellowstone prior to the official reintroduction? Which time unit best describes it?
TYP	If you can afford to go before, then by all means, GO.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	At what time does this usually happen? Which time unit best describes it?
FREQ	You charge SO MUCH, yet you use the same grounds over and over again.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do you use the same grounds over and over again? Which time unit best describes it?
FREQ	Japan favoured a route to the sea, enabling oil to be shipped to both Japan and China.	43 44 45 46 47 48 49 50 51 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How often is oil shipped along that route? Which time unit best describes it?
TYP	There are so many wonderful, great places to dine in Houston. Don't waste your time here.	10 11 12 13 14 15 16 17 120 121 122 123	0.0 0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0	At what time do people usually dine in these places? Which time unit best describes it?
FREQ	The server we had was knowledgeable, but he was not as proper as he should have been, acting like he was talking to his friends rather than his customers.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often does the server act like he is talking to his friends rather than his customers? Which time unit best describes it?
DUR	There are many reasons to say Disney cruise is the best bet for you to have an enjoyable holiday tour.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long is a Disney cruise holiday tour? Which time unit best describes it?
DUR	He's not lame, but he's been having issues.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long has he been having issues? Which time unit best describes it?
FREQ	A girl would show up, then a guy in a nice car would show up.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often would the girl and the guy show up? Which time unit best describes it?
DUR	sketch out floor plan, estimate size, draw front view, side view, and 3D orthographic perspective views.	1 2 3 4 5 6 7 8 9 120 121 122	0.006037846064281208 0.15903304473396812 0.47317575760473235 0.2453125506936087 0.08577848758081653 0.028331933195186416 0.002224080407310708 0.00010386603946867244 2.4336806272483765e-06 0.0 0.0 0.0	How long does it take to sketch out the floor plan, estimate size, and draw the front, side, and 3d orthographic perspective views? Which time unit best describes it?
FREQ	I guess if you have a schtick that is a resounding success once, you can't help but trot it out every time your act is going sour.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often do you trot out the successful schtick when your act is going sour? Which time unit best describes it?
FREQ	I got him back the first of the month, and he had lost some weight but attributed that to being worked every day (I expected him to drop some).	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often was he worked? Which time unit best describes it?
DUR	I do hold a HHa certificate in the state of NY, but I looking to move to Delaware. Anyone know how I can get certified in Delaware?	1 2 3 4 5 6 7 8 9 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How long does it take to get certified in Delaware? Which time unit best describes it?
DUR	NASA & Company Diplomacy: Trying to keep Moon Landing Hoax a secret in modern times.	1 2 3 4 5 6 7 8 9 120 121 122	5.572730351111348e-12 6.296884648723474e-08 8.037356297882278e-05 0.004603998728773229 0.02870209972984776 0.08174969138345407 0.25935558127072855 0.3661526110790698 0.25935558127072855 0.0 0.0 0.0	How long would they try to keep the Moon landing hoax secret? Which time unit best describes the duration of this effort?
DUR	she will start to calm down and feel safe—you can bet she doesn't now.	1 2 3 4 5 6 7 8 9 120 121 122	0.1966797321503831 0.5851870686462161 0.1966797321503831 0.018764436502991182 0.0023274596334087274 0.0003541235975250493 7.345990219746334e-06 1.0063714849200163e-07 6.917246071508814e-10 0.0 0.0 0.0	How long will it take for her to start to calm down and feel safe? Which time unit best describes it?
TYP	"native of Crete, ""EL GRECO dies: April 7, 1614, Monday."""	25 26 27 28 29 30 31 32 33 34 35 36	0.0 0.001 0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0	At what time did El Greco die? Which time unit best describes it?
TYP	"In February of 2005, Iran and Syria agreed upon a mutual protection pact to combat ""challenges and threats"" in the region."	25 26 27 28 29 30 31 32 33 34 35 36	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001	When did Iran and Syria agree on the mutual protection pact? Which time unit best describes when it happened?
TYP	Actually, I have a project on it, so please give me as much information as you have about migratory birds in Punjab.	37 38 39 40 120 121 122 123 124 125 126 127	0.157 0.001 0.157 0.683 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0	When do migratory birds in Punjab usually arrive? Which time unit best describes this timing?
TYP	Imagine you're sitting on top of a mountain, and that it's the most peaceful place you can think of.	10 11 12 13 14 15 16 17 120 121 122 123	0.157 0.683 0.157 0.001 0.0 0.0 0.0 0.001 0.0 0.0 0.0 0.0	When would someone typically sit on top of a mountain? Which time unit best describes it?
FREQ	We've had about 5 repairs done on 3 different laptops.	43 44 45 46 47 48 49 50 51 120 121 122	1.2229783553502831e-09 4.053791134884565e-06 0.0015178670785093325 0.03356114730820127 0.11681011704848474 0.21514985378380605 0.32292803014499954 0.22873846705624448 0.08129046256564142 0.0 0.0 0.0	How often have repairs been done on the laptops? Which time unit best describes it?
FREQ	I've had writer friends describe horror stories with their printers.	43 44 45 46 47 48 49 50 51 120 121 122	2.0746396147545137e-07 0.00018172156454292432 0.017980428741889258 0.14150527501625504 0.2616505043598367 0.3002937686386626 0.20006984338208827 0.06704560384872892 0.011272646984034582 0.0 0.0 0.0	How often do the writer friends describe horror stories with their printers? Which time unit best describes it?
FREQ	Be helpful around the house to show that even if you can't pay for it yourself, that you're willing to work for it.	43 44 45 46 47 48 49 50 51 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How often should someone be helpful around the house to show they are willing to work for it? Which time unit best describes it?
DUR	28 - Number of vacation days Bush took in August 2003, the second-longest vacation of any president in US history.	1 2 3 4 5 6 7 8 9 120 121 122	7.670003601399247e-05 0.010977975780067789 0.17749198395637333 0.3423587734906385 0.26762063340149095 0.1613272650199883 0.03558053856215351 0.004304815288057253 0.00026131446521643803 0.0 0.0 0.0	How long did Bush's vacation last in August 2003? Which time unit best describes it?
DUR	You need a lot of money for hotels, airfare, seeing the sites, food, local transport—you name it; but life costs.	1 2 3 4 5 6 7 8 9 120 121 122	2.9988887071575075e-06 0.0012100380728822476 0.055152791268338504 0.23782074256001023 0.3042366976664677 0.26508603808222186 0.11004905411557955 0.02384861332046269 0.0025930260253300397 0.0 0.0 0.0	How long does a typical trip like this last? Which time unit best describes it?
